Date/time UTC,Active energy Wh,Returned energy Wh,Min V,Max V
2022-01-06 01:58,46.90,0.00,230.5,238.0
2022-01-06 01:59,52.30,0.00,230.5,230.5
2022-01-06 02:00,50.90,0.00,227.5,230.5
2022-01-06 02:01,51.20,0.00,227.5,229.0
2022-01-06 02:02,10.69,0.00,229.0,236.5
2022-01-06 08:52,3.63,0.00,221.5,230.5
2022-01-06 08:53,50.00,0.00,220.0,223.0
2022-01-06 08:54,49.10,0.00,220.0,223.0
2022-01-06 08:55,50.00,0.00,223.0,226.0
2022-01-06 08:56,50.20,0.00,223.0,226.0
2022-01-06 08:57,50.10,0.00,223.0,226.0
2022-01-06 08:58,50.80,0.00,226.0,227.5
2022-01-06 08:59,50.90,0.00,226.0,227.5
2022-01-06 09:00,50.90,0.00,226.0,227.5
2022-01-06 09:01,50.90,0.00,226.0,227.5
2022-01-06 09:02,50.40,0.00,227.5,227.5
2022-01-06 09:03,49.90,0.00,223.0,227.5
2022-01-06 09:04,49.60,0.00,223.0,226.0
2022-01-06 09:05,49.30,0.00,223.0,223.0
2022-01-06 09:06,49.40,0.00,223.0,226.0
2022-01-06 09:07,49.40,0.00,223.0,226.0
2022-01-06 09:08,49.50,0.00,223.0,224.5
2022-01-06 09:09,49.60,0.00,220.0,226.0
2022-01-06 09:10,49.40,0.00,223.0,224.5
2022-01-06 09:11,49.30,0.00,221.5,226.0
2022-01-06 09:12,49.00,0.00,223.0,223.0
2022-01-06 09:13,49.10,0.00,221.5,223.0
2022-01-06 09:14,48.90,0.00,221.5,223.0
2022-01-06 09:15,49.10,0.00,221.5,223.0
2022-01-06 09:16,49.20,0.00,223.0,223.0
2022-01-06 09:17,49.40,0.00,223.0,224.5
2022-01-06 09:18,49.40,0.00,223.0,224.5
2022-01-06 09:19,49.70,0.00,223.0,224.5
2022-01-06 09:20,49.10,0.00,221.5,223.0
2022-01-06 09:21,49.50,0.00,223.0,224.5
2022-01-06 09:22,49.40,0.00,223.0,224.5
2022-01-06 09:23,49.80,0.00,223.0,224.5
2022-01-06 09:24,49.60,0.00,223.0,224.5
2022-01-06 09:25,49.50,0.00,223.0,224.5
2022-01-06 09:26,49.10,0.00,223.0,223.0
2022-01-06 09:27,49.50,0.00,223.0,224.5
2022-01-06 09:28,49.10,0.00,221.5,223.0
2022-01-06 09:29,49.20,0.00,223.0,223.0
2022-01-06 09:30,49.10,0.00,223.0,223.0
2022-01-06 09:31,49.90,0.00,223.0,226.0
2022-01-06 09:32,49.50,0.00,220.0,226.0
2022-01-06 09:33,49.20,0.00,223.0,224.5
2022-01-06 09:34,49.80,0.00,223.0,226.0
2022-01-06 09:35,49.50,0.00,221.5,227.5
2022-01-06 09:36,49.70,0.00,223.0,227.5
2022-01-06 09:37,49.10,0.00,223.0,223.0
2022-01-06 09:38,49.10,0.00,221.5,223.0
2022-01-06 09:39,48.90,0.00,221.5,223.0
2022-01-06 09:40,49.00,0.00,221.5,223.0
2022-01-06 09:41,49.00,0.00,221.5,223.0
2022-01-06 09:42,49.00,0.00,221.5,223.0
2022-01-06 09:43,49.20,0.00,223.0,223.0
2022-01-06 09:44,49.10,0.00,223.0,223.0
2022-01-06 09:45,49.10,0.00,221.5,224.5
2022-01-06 09:46,49.70,0.00,221.5,223.0
2022-01-06 09:47,50.00,0.00,221.5,224.5
2022-01-06 09:48,49.20,0.00,223.0,223.0
2022-01-06 09:49,49.10,0.00,223.0,223.0
2022-01-06 09:50,48.90,0.00,221.5,223.0
2022-01-06 09:51,48.90,0.00,221.5,223.0
2022-01-06 09:52,49.00,0.00,221.5,223.0
2022-01-06 09:53,49.00,0.00,221.5,223.0
2022-01-06 09:54,49.10,0.00,223.0,223.0
2022-01-06 09:55,49.20,0.00,223.0,223.0
2022-01-06 09:56,49.30,0.00,221.5,224.5
2022-01-06 09:57,50.10,0.00,221.5,227.5
2022-01-06 09:58,50.10,0.00,221.5,226.0
2022-01-06 09:59,49.40,0.00,223.0,226.0
2022-01-06 10:00,50.60,0.00,224.5,226.0
2022-01-06 10:01,50.70,0.00,226.0,227.5
2022-01-06 10:02,50.80,0.00,226.0,227.5
2022-01-06 10:03,51.20,0.00,227.5,229.0
2022-01-06 10:04,49.90,0.00,223.0,227.5
2022-01-06 10:05,40.47,0.00,223.0,230.5
2022-01-06 12:26,3.71,0.00,220.0,230.5
2022-01-06 12:27,48.10,0.00,218.5,221.5
2022-01-06 12:28,48.20,0.00,220.0,223.0
2022-01-06 12:29,48.00,0.00,218.5,223.0
2022-01-06 12:30,47.40,0.00,215.5,221.5
2022-01-06 12:31,48.10,0.00,215.5,223.0
2022-01-06 12:32,48.60,0.00,220.0,223.0
2022-01-06 12:33,12.95,0.00,220.0,230.5
2022-01-06 12:40,22.96,0.00,220.0,230.5
2022-01-06 12:41,48.60,0.00,220.0,223.0
2022-01-06 12:42,48.20,0.00,214.0,223.0
2022-01-06 12:43,49.00,0.00,221.5,224.5
2022-01-06 12:44,49.20,0.00,221.5,224.5
2022-01-06 12:45,48.30,0.00,215.5,224.5
2022-01-06 12:46,47.60,0.00,212.5,223.0
2022-01-06 12:47,47.40,0.00,214.0,221.5
2022-01-06 12:48,47.80,0.00,215.5,224.5
2022-01-06 12:49,48.60,0.00,215.5,224.5
2022-01-06 12:50,46.70,0.00,212.5,220.0
2022-01-06 12:51,47.80,0.00,212.5,224.5
2022-01-06 12:52,47.50,0.00,214.0,223.0
2022-01-06 12:53,47.30,0.00,214.0,223.0
2022-01-06 12:54,47.80,0.00,214.0,223.0
